['10', '5', '14']
['12', '7', '6']
['8', '14', '10']
['6', '5', '7']
['5', '16', '17']
['5', '9', '8']
['8', '14', '9']
['11', '10', '17']
['12', '19', '8']
['14', '11', '5']
['7', '8', '11']
['9', '8', '12']
['7', '15', '7']
['13', '12', '7']
['9', '11', '7']
['13', '8', '8']
['8', '7', '9']
['5', '7', '10']
['5', '9', '5']
['10', '21', '14']
['8', '13', '4']
['7', '18', '7']
['8', '5', '3']
['8', '7', '9']
['11', '14', '3']
['3', '9', '8']
['4', '8', '7']
['14', '17', '10']
['4', '7', '10']
['9', '7', '15']
['7', '12', '11']
['12', '12', '11']
['10', '13', '12']
['6', '10', '7']
['16', '4', '7']
['12', '9', '2']
['5', '12', '18']
['7', '10', '15']
['6', '12', '4']
['11', '15', '5']
['10', '8', '6']
['8', '10', '10']
['15', '14', '12']
['7', '9', '15']
['21', '10', '5']
['9', '6', '10']
['3', '9', '5']
['7', '14', '10']
['8', '11', '8']
['11', '11', '10']
['10', '10', '10']
['8', '4', '13']
['5', '5', '13']
['15', '13', '7']
['8', '8', '13']
['6', '11', '11']
['7', '14', '11']
['7', '9', '10']
['9', '14', '8']
['5', '12', '6']
['10', '12', '12']
['7', '13', '8']
['5', '9', '7']
