 ft st fps fpr sps spr tps tpr data
281 "Витязь Подольск" Северсталь 10 10 15 5 9 6 16.10.2018
282 "Динамо Минск" "Динамо Москва" 12 7 8 10 14 5 16.10.2018
283 "Слован Братислава" Адмирал 10 10 19 10 18 7 16.10.2018
284 ЦСКА "Куньлунь РС" 17 5 6 10 4 12 16.10.2018
285 "Динамо Рига" Амур 14 7 11 1 17 3 15.10.2018
286 Автомобилист Барыс 12 8 9 10 11 10 15.10.2018
287 "Металлург Магнитогорск" "Салават Юлаев" 12 8 14 2 14 8 14.10.2018
288 Трактор Сибирь 16 2 9 13 10 7 14.10.2018
289 СКА "Спартак Москва" 10 11 11 9 2 9 14.10.2018
290 Нефтехимик Сочи 6 6 11 9 8 9 14.10.2018
291 "Слован Братислава" "Куньлунь РС" 12 10 16 7 9 15 14.10.2018
292 Авангард Барыс 9 4 7 6 11 8 14.10.2018
293 "Динамо Москва" Локомотив 7 12 9 6 12 15 14.10.2018
294 "Динамо Минск" Северсталь 8 6 13 16 15 9 14.10.2018
295 "Динамо Рига" Адмирал 11 6 12 7 7 6 13.10.2018
296 ЦСКА Амур 12 6 5 6 4 8 13.10.2018
297 Автомобилист "Салават Юлаев" 20 8 9 7 8 5 13.10.2018
298 "Металлург Магнитогорск" Сибирь 7 9 5 10 7 12 12.10.2018
299 "Ак Барс" Сочи 20 8 9 7 8 5 13.10.2018
300 Нефтехимик Йокерит 7 9 5 10 7 12 12.10.2018
301 Торпедо "Спартак Москва" 5 6 15 7 10 7 12.10.2018
302 "Динамо Минск" Локомотив 11 8 15 14 13 10 12.10.2018
303 "Динамо Рига" "Куньлунь РС" 7 3 15 6 10 5 12.10.2018
304 СКА Северсталь 6 15 13 3 7 8 12.10.2018
305 ЦСКА Адмирал 17 8 10 7 15 7 11.10.2018
306 Автомобилист Сибирь 10 8 13 8 6 6 11.10.2018
307 Авангард "Слован Братислава" 9 12 10 12 8 12 11.10.2018
308 "Ак Барс" "Спартак Москва" 11 7 7 12 5 10 11.10.2018
309 Торпедо Сочи 11 11 12 5 14 7 10.10.2018
310 "Салават Юлаев" Трактор 6 4 11 4 11 11 10.10.2018
311 СКА Локомотив 8 4 15 5 7 9 10.10.2018
312 ЦСКА "Динамо Москва" 6 4 11 4 11 11 10.10.2018
313 Йокерит "Витязь Подольск" 8 4 15 5 7 9 10.10.2018
314 "Металлург Магнитогорск" Автомобилист 13 8 7 10 9 5 10.10.2018
315 Нефтехимик "Спартак Москва" 17 6 9 9 9 8 09.10.2018
316 "Салават Юлаев" Авангард 5 15 0 26 6 21 09.10.2018
317 Барыс "Динамо Рига" 10 7 10 5 8 16 09.10.2018
318 Сибирь "Слован Братислава" 8 12 8 12 7 14 09.10.2018
319 Адмирал "Куньлунь РС" 5 5 12 13 12 3 09.10.2018
320 Амур Трактор 8 4 8 7 6 12 09.10.2018
321 "Динамо Москва" Торпедо 8 10 15 6 14 8 08.10.2018
322 Сочи "Витязь Подольск" 18 5 15 9 14 2 08.10.2018
323 Северсталь "Ак Барс" 5 10 14 6 14 10 08.10.2018
324 Йокерит "Динамо Минск" 14 9 16 7 14 11 08.10.2018
325 Авангард ЦСКА 3 11 10 5 9 6 07.10.2018
326 Барыс "Слован Братислава" 7 11 10 7 11 4 07.10.2018
327 Сибирь "Динамо Рига" 3 6 17 7 7 11 07.10.2018
328 "Куньлунь РС" Автомобилист 12 6 10 9 8 11 07.10.2018
329 Адмирал Трактор 9 6 7 6 11 7 07.10.2018
330 Амур "Металлург Магнитогорск" 11 6 8 11 5 8 07.10.2018
331 "Динамо Москва" Нефтехимик 4 6 11 15 11 8 06.10.2018
332 Локомотив "Ак Барс" 12 10 19 9 3 9 06.10.2018
333 Северсталь Торпедо 13 8 8 10 7 12 06.10.2018
334 "Спартак Москва" "Витязь Подольск" 7 7 3 9 12 8 06.10.2018
335 Йокерит СКА 8 8 5 12 7 8 06.10.2018
336 Сочи "Динамо Минск" 7 4 6 12 18 10 06.10.2018
337 Авангард "Динамо Рига" 13 7 12 6 8 6 05.10.2018
338 "Салават Юлаев" "Слован Братислава" 10 10 12 9 11 6 05.10.2018
339 Сибирь ЦСКА 6 13 7 7 6 6 05.10.2018
340 Адмирал "Металлург Магнитогорск" 10 7 13 13 9 11 05.10.2018
341 Амур Автомобилист 6 8 9 11 10 9 05.10.2018
342 "Куньлунь РС" Трактор 7 8 13 8 6 9 05.10.2018
343 "Динамо Москва" "Ак Барс" 11 5 11 6 5 3 04.10.2018
344 Сочи СКА 4 7 5 8 8 3 04.10.2018
345 "Спартак Москва" "Динамо Минск" 14 6 11 10 16 7 04.10.2018
346 Локомотив Торпедо 15 5 12 13 6 7 04.10.2018
347 Северсталь Нефтехимик 10 17 3 18 11 9 04.10.2018
348 Барыс ЦСКА 8 8 5 9 4 7 03.10.2018
349 Адмирал Автомобилист 7 14 8 6 8 7 03.10.2018
350 "Куньлунь РС" "Металлург Магнитогорск" 6 9 7 14 11 5 03.10.2018
351 "Витязь Подольск" Авангард 5 12 5 13 7 15 02.10.2018
352 "Спартак Москва" СКА 7 10 12 11 9 8 02.10.2018
353 Локомотив Нефтехимик 8 10 14 12 12 5 02.10.2018
354 Йокерит Сочи 13 10 8 4 9 12 01.10.2018
355 "Салават Юлаев" ЦСКА 7 8 8 10 10 4 01.10.2018
356 Трактор "Динамо Москва" 4 7 10 9 5 14 01.10.2018
357 "Ак Барс" Адмирал 13 15 11 10 15 8 30.09.2018
358 "Витязь Подольск" Сибирь 10 10 7 10 10 6 30.09.2018
359 "Динамо Минск" Авангард 4 10 2 10 7 15 30.09.2018
360 Торпедо Амур 9 9 9 8 12 5 30.09.2018
361 "Слован Братислава" Сочи 14 10 10 8 10 9 29.09.2018
362 "Динамо Рига" Барыс 8 8 12 3 12 4 29.09.2018
363 "Металлург Магнитогорск" Локомотив 6 11 10 10 7 11 29.09.2018
364 Трактор Северсталь 9 9 10 10 9 10 29.09.2018
365 Автомобилист "Динамо Москва" 9 11 14 3 8 9 29.09.2018
366 "Витязь Подольск" "Салават Юлаев" 8 11 6 9 11 11 28.09.2018
367 "Динамо Минск" Сибирь 11 7 9 11 10 4 28.09.2018
368 СКА Авангард 14 5 15 7 9 4 28.09.2018
369 "Ак Барс" Амур 6 4 10 5 11 6 28.09.2018
370 Нефтехимик Адмирал 9 3 9 9 11 11 28.09.2018
371 Торпедо "Куньлунь РС" 6 10 9 13 12 12 28.09.2018
372 "Динамо Рига" Сочи 6 6 3 8 7 12 27.09.2018
373 "Слован Братислава" Йокерит 7 5 10 8 7 6 27.09.2018
374 ЦСКА "Спартак Москва" 6 6 5 5 15 6 27.09.2018
375 Автомобилист Северсталь 11 13 11 6 8 7 27.09.2018
376 "Металлург Магнитогорск" "Динамо Москва" 12 8 11 10 5 14 27.09.2018
377 Трактор Локомотив 7 9 10 10 7 3 27.09.2018
378 "Витязь Подольск" Барыс 9 4 7 9 15 4 26.09.2018
379 "Динамо Минск" "Салават Юлаев" 10 6 4 3 7 5 26.09.2018
380 СКА Сибирь 14 5 15 4 10 4 26.09.2018
381 "Ак Барс" "Куньлунь РС" 8 10 20 4 12 2 26.09.2018
382 Нефтехимик Амур 14 6 10 8 4 10 26.09.2018
383 Торпедо Адмирал 13 8 5 14 18 6 26.09.2018
384 "Динамо Рига" Йокерит 7 14 11 9 6 19 25.09.2018
385 "Слован Братислава" "Спартак Москва" 11 6 9 13 5 11 25.09.2018
386 ЦСКА Сочи 7 1 12 8 6 5 25.09.2018
387 Автомобилист Локомотив 12 14 9 14 10 1 25.09.2018
388 "Металлург Магнитогорск" Северсталь 10 11 18 7 5 8 25.09.2018
389 Авангард Амур 19 5 22 7 13 4 24.09.2018
390 "Ак Барс" Сибирь 10 5 13 7 11 3 24.09.2018
391 "Динамо Москва" Барыс 11 7 10 7 7 6 24.09.2018
392 Нефтехимик "Куньлунь РС" 17 2 10 9 13 9 24.09.2018
